GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
313,107,3,4.0,4.5,8.69,0
320,112,4,3.0,4.5,8.86,1
319,106,3,3.5,2.5,8.33,1
304,100,4,1.5,2.5,7.84,0
322,110,3,3.0,3.5,8.0,0
308,110,4,3.5,3.0,8.6,0
326,110,3,3.5,3.5,8.76,1
304,97,2,1.5,2.0,7.64,0
312,109,3,3.0,3.0,8.69,0
305,112,3,3.0,3.5,8.65,0
336,118,5,4.5,4.0,9.19,1
329,113,4,4.0,3.5,9.36,1
300,102,2,1.5,2.0,7.87,0
306,105,2,3.0,2.5,8.26,0
337,118,4,4.5,4.5,9.65,1
324,109,3,3.5,3.0,8.94,1
339,116,4,4.0,3.5,9.8,1
318,110,1,2.5,3.5,8.54,1
317,100,2,3.0,2.5,8.57,0
334,114,4,4.0,4.0,9.43,1
323,110,5,4.0,5.0,8.98,1
314,107,3,3.0,3.5,8.17,1
312,107,3,3.0,2.0,7.9,1
335,117,5,5.0,5.0,9.56,1
306,110,2,3.5,4.0,8.45,0
305,102,2,1.5,2.5,7.64,0
340,113,4,5.0,5.0,9.74,1
312,98,1,3.5,3.0,8.18,1
321,112,3,3.0,4.5,8.95,1
315,105,2,2.0,2.5,7.65,0
295,96,2,1.5,2.0,7.34,0
300,100,3,3.0,3.5,8.26,0
325,114,5,4.0,5.0,9.46,1
310,101,3,3.5,5.0,8.65,1
327,103,3,4.0,4.0,8.3,1
316,105,3,3.0,3.5,8.73,0
325,114,4,3.0,2.0,8.4,0
318,103,3,4.0,4.5,8.49,1
318,109,3,3.0,3.0,8.5,0
305,107,2,2.5,2.5,8.42,0
321,110,4,3.5,4.0,8.35,1
294,93,1,1.5,2.0,7.36,0
297,100,1,1.5,2.0,7.9,0
308,102,2,2.0,3.5,7.98,1
334,119,5,4.5,4.5,9.48,1
301,96,1,3.0,4.0,7.56,0
299,97,3,5.0,3.5,7.66,0
297,96,2,2.5,2.0,7.43,0
325,110,4,4.5,4.0,8.96,1
314,99,4,3.5,4.5,8.73,1
328,110,4,5.0,4.0,9.14,1
334,116,4,4.0,3.0,8.0,1
309,108,3,2.5,3.0,8.12,0
319,110,3,3.0,2.5,8.79,0
315,110,2,3.5,3.0,8.46,1
315,105,3,2.0,2.5,8.34,0
321,102,3,3.5,4.0,9.01,1
326,112,3,3.5,3.0,9.05,1
302,99,2,1.0,2.0,7.97,0
297,96,2,2.5,1.5,7.89,0
315,105,2,3.0,3.0,8.34,0
322,103,4,3.0,2.5,8.02,1
301,104,3,3.5,4.0,8.12,1
317,103,3,2.5,3.0,8.54,1
322,112,3,3.0,4.0,8.62,1
312,106,3,3.0,5.0,8.57,0
321,109,3,3.0,4.0,8.2,1
326,114,3,3.0,3.0,9.11,1
320,111,4,4.5,3.5,8.87,1
327,109,3,3.5,4.0,8.77,1
334,120,5,4.0,5.0,9.87,1
312,103,4,4.0,5.0,8.43,0
324,111,3,2.5,1.5,8.79,1
307,102,3,3.0,3.0,8.27,0
317,106,1,1.5,3.5,7.65,1
303,100,2,3.0,3.5,8.06,1
336,119,4,4.5,4.0,9.62,1
331,116,5,4.0,4.0,9.26,1
316,110,3,3.5,4.0,8.56,0
327,108,5,5.0,3.5,9.13,1
322,110,5,4.5,4.0,8.97,0
309,105,2,2.5,4.0,7.68,0
322,110,3,3.5,3.0,8.96,1
325,112,4,4.0,4.5,9.17,1
304,105,1,3.0,1.5,7.5,0
320,108,3,3.5,4.0,8.44,1
322,114,5,4.5,4.0,8.94,1
309,105,4,3.5,2.0,8.18,0
328,112,4,4.0,4.5,9.1,1
340,115,5,5.0,4.5,9.06,1
340,112,4,5.0,4.5,9.66,1
300,97,2,3.0,3.0,8.1,1
325,112,2,3.0,3.5,8.96,1
313,102,3,3.5,4.0,8.9,1
340,120,5,4.5,4.5,9.91,1
309,104,2,2.0,2.5,8.26,0
312,106,3,4.0,3.5,8.79,1
324,115,3,3.5,3.0,8.76,1
328,116,4,5.0,3.5,9.6,1
314,102,4,2.5,2.0,7.88,1
299,94,1,1.0,1.0,7.34,0
301,99,3,2.5,2.0,8.45,1
340,120,4,5.0,5.0,9.5,1
316,110,3,4.0,4.5,8.78,1
302,99,3,2.5,3.0,7.45,0
312,110,2,3.5,3.0,8.53,0
300,105,1,1.0,2.0,7.8,0
303,102,3,3.5,3.0,8.5,0
310,99,2,1.5,2.0,7.3,0
296,95,2,3.0,2.0,7.54,1
315,101,3,3.5,4.5,9.13,0
322,112,4,4.5,4.5,9.26,1
296,97,2,1.5,2.0,7.8,0
298,97,2,2.0,3.0,7.21,0
336,112,5,5.0,5.0,9.76,1
303,99,3,2.0,2.5,7.66,0
298,101,4,2.5,4.5,7.69,1
311,101,2,2.5,3.5,8.34,1
320,110,5,5.0,5.0,9.2,1
326,112,3,3.5,3.0,9.1,1
314,106,3,3.0,5.0,8.9,0
321,109,4,4.0,4.0,9.13,1
324,112,4,4.0,2.5,8.1,1
328,116,5,5.0,5.0,9.5,1
323,113,4,4.0,4.5,9.23,1
320,113,2,2.0,2.5,8.64,1
316,103,2,2.0,4.5,8.74,0
298,100,3,2.5,4.0,7.95,1
302,102,3,3.5,5.0,8.33,0
310,105,2,3.0,3.5,8.01,0
317,105,3,3.5,3.0,8.56,0
311,101,3,2.0,2.5,7.64,1
318,106,2,4.0,4.0,7.92,1
325,107,3,3.0,3.5,9.11,1
325,108,4,4.5,4.0,9.06,1
331,116,4,4.5,4.5,9.44,1
332,108,5,4.5,4.0,9.02,1
316,103,3,3.5,2.0,7.68,0
312,99,1,1.0,1.5,8.01,1
323,107,4,3.0,2.5,8.48,1
330,116,4,5.0,4.5,9.45,1
314,103,2,2.0,3.0,8.21,0
326,102,4,5.0,5.0,8.76,1
324,110,4,3.0,3.5,8.97,1
299,100,1,1.5,2.0,7.89,0
326,111,5,4.5,4.0,9.23,1
307,105,4,3.0,3.0,7.94,0
324,110,3,3.5,4.0,8.87,1
316,102,2,4.0,3.5,8.15,0
319,112,3,2.5,2.0,8.71,1
334,119,5,4.5,5.0,9.54,1
319,110,3,3.5,3.5,9.04,0
340,120,4,4.5,4.0,9.92,1
317,106,3,3.5,3.0,7.89,1
321,112,5,5.0,5.0,9.06,1
299,100,3,2.0,2.0,8.02,0
296,101,1,2.5,3.0,7.68,0
312,105,3,2.0,3.0,8.02,1
290,104,4,2.0,2.5,7.46,0
334,119,5,5.0,4.5,9.7,1
321,114,5,4.5,4.5,9.16,1
322,112,4,3.5,2.5,9.02,1
319,108,3,3.0,3.5,8.54,1
307,101,3,4.0,3.0,8.2,0
331,116,5,5.0,5.0,9.38,1
323,110,4,4.0,5.0,8.88,1
326,113,5,4.5,4.0,9.4,1
316,109,4,4.5,3.5,8.76,1
312,107,2,2.5,3.5,8.27,0
332,112,1,1.5,3.0,8.66,1
324,113,5,4.0,5.0,9.25,1
330,114,3,4.5,4.5,9.24,1
313,103,3,4.0,4.0,8.75,0
313,102,3,2.0,3.0,8.27,0
327,115,4,3.5,4.0,9.14,0
308,101,2,3.0,4.0,7.9,0
310,106,4,4.5,4.5,9.04,1
333,117,4,5.0,4.0,9.66,1
328,110,4,4.0,2.5,9.02,1
312,103,3,5.0,4.0,8.45,0
327,118,4,5.0,5.0,9.67,1
320,120,3,4.0,4.5,9.11,0
327,106,4,4.0,4.5,8.75,1
337,117,5,5.0,5.0,9.87,1
317,101,3,3.0,2.0,7.94,1
312,104,3,3.5,3.5,8.42,0
304,102,2,3.0,4.0,8.73,0
314,104,4,5.0,5.0,9.02,0
330,116,4,4.0,3.5,9.23,1
318,112,3,4.0,3.5,8.67,0
325,106,3,3.5,4.0,8.4,1
295,93,1,2.0,2.0,7.2,0
325,111,4,4.0,4.5,9.11,1
310,102,3,3.5,4.0,8.02,1
301,106,4,2.5,3.0,8.47,0
328,115,4,4.5,4.0,9.16,1
298,99,1,1.5,3.0,7.46,0
316,109,3,3.5,3.0,8.76,0
316,100,2,1.5,3.0,8.16,1
295,99,1,2.0,1.5,7.57,0
301,107,3,3.5,3.5,8.34,1
322,107,3,3.5,3.5,8.46,1
312,105,2,1.5,3.0,8.46,0
302,101,2,2.5,3.5,7.96,0
317,104,2,3.0,3.0,8.76,0
305,108,5,3.0,3.0,8.48,0
321,111,3,2.5,3.0,8.9,1
317,110,3,4.0,4.5,9.11,1
335,118,5,4.5,3.5,9.44,1
310,106,4,1.5,2.5,8.36,0
324,111,3,2.5,2.0,8.8,1
298,98,2,4.0,3.0,8.03,0
312,103,3,3.5,4.0,8.78,0
307,107,2,3.0,3.5,8.52,1
304,105,2,3.0,3.0,8.2,1
328,113,4,4.0,2.5,8.77,1
321,111,4,4.0,4.0,8.97,1
297,101,3,2.0,4.0,7.67,1
322,110,5,5.0,4.0,9.1,1
322,105,2,3.0,3.0,8.45,1
316,111,4,4.0,5.0,8.54,0
339,114,5,4.0,4.5,9.76,1
313,98,3,2.5,4.5,8.3,1
331,120,3,4.0,4.0,8.96,1
310,106,2,3.5,2.5,8.33,0
330,116,5,5.0,4.5,9.36,1
310,104,3,2.0,3.5,8.37,0
324,110,3,3.5,3.5,9.04,1
300,95,2,3.0,1.5,8.22,1
310,110,1,1.5,4.0,7.23,1
315,107,2,4.0,3.0,8.5,1
316,98,1,1.5,2.0,7.43,0
311,99,2,2.5,3.0,7.98,0
311,104,2,2.5,3.5,8.48,0
324,100,3,4.0,5.0,8.64,1
316,99,2,2.5,3.0,9.0,0
308,108,4,4.5,5.0,8.34,0
311,99,1,2.5,3.0,8.43,1
307,105,2,2.5,4.5,8.12,1
324,105,3,3.0,4.0,8.75,0
319,105,4,4.0,4.5,8.66,1
308,110,3,3.5,3.0,8.0,1
335,117,5,5.0,5.0,9.82,1
318,106,3,2.0,3.0,8.65,0
325,112,4,3.5,3.5,8.92,0
315,99,2,3.5,3.0,7.89,0
302,102,1,2.0,1.5,8.0,0
301,99,2,3.0,2.0,8.22,0
300,99,1,3.0,2.0,6.8,1
320,104,3,3.0,2.5,8.57,1
327,104,5,3.0,3.5,8.84,1
305,96,4,3.0,4.5,8.26,0
327,113,4,3.5,3.0,8.69,1
332,118,2,4.5,3.5,9.36,1
314,108,3,4.5,3.5,8.14,0
312,100,1,3.0,3.0,8.53,1
325,112,4,4.0,4.0,9.0,1
309,106,2,2.5,2.5,8.0,0
305,102,2,2.0,2.5,8.18,0
321,114,4,4.0,5.0,9.12,0
323,104,3,4.0,4.0,8.44,1
309,100,2,3.0,3.0,8.1,0
313,101,3,2.5,3.0,8.04,0
315,104,3,3.0,2.5,8.33,0
309,99,3,4.0,4.0,8.56,0
319,108,2,2.5,3.0,8.76,0
310,107,3,3.5,3.5,8.67,0
308,104,2,2.5,3.0,8.07,0
324,112,4,4.5,4.0,9.22,1
329,114,5,4.0,5.0,9.3,1
315,106,3,4.5,3.5,8.42,0
304,103,5,5.0,4.0,8.64,0
322,110,3,4.0,5.0,8.64,1
323,112,5,4.0,4.5,8.78,0
317,107,3,4.0,3.0,8.7,0
323,107,3,3.5,3.5,8.55,1
336,118,5,4.5,5.0,9.53,1
299,100,2,2.0,2.0,7.88,0
299,102,3,4.0,3.5,8.62,0
317,106,2,2.0,3.5,8.12,0
327,113,3,3.5,3.0,8.66,1
320,104,3,3.5,4.5,8.34,1
316,101,2,2.5,2.0,8.32,1
298,98,2,1.5,2.5,7.5,1
329,110,2,4.0,3.0,9.15,1
311,104,3,4.5,4.5,8.43,0
290,100,1,1.5,2.0,7.56,0
311,104,3,3.5,2.0,8.2,1
317,107,2,3.5,3.0,8.28,0
313,102,3,2.5,2.5,8.68,0
308,103,2,2.5,4.0,8.36,1
324,113,4,4.5,4.0,8.79,0
325,114,3,3.5,3.0,9.04,1
331,119,4,5.0,4.5,9.34,1
304,100,2,3.5,3.0,8.22,0
297,98,2,2.5,3.0,7.67,0
317,104,2,4.5,4.0,8.47,0
311,106,2,3.5,3.0,8.26,1
318,109,1,3.5,3.5,9.12,0
316,107,2,3.5,3.5,8.64,1
322,110,3,3.5,2.5,8.67,1
308,106,3,3.0,3.0,8.24,0
316,102,3,2.0,3.0,7.4,0
313,106,2,2.5,2.0,8.43,0
304,100,2,2.5,3.5,8.07,0
321,109,3,3.0,3.0,8.54,1
312,100,2,1.5,3.5,7.9,1
324,107,4,4.0,4.5,8.87,1
318,110,3,4.0,3.0,8.8,0
327,113,4,4.5,5.0,9.14,0
326,114,4,4.0,3.5,9.16,1
311,107,4,4.5,4.5,9.0,1
340,120,5,4.5,4.5,9.6,1
314,110,3,4.0,4.0,8.8,0
301,104,2,3.5,3.5,7.89,1
317,107,3,3.5,3.0,8.68,1
332,117,4,4.5,4.0,9.1,0
333,118,5,5.0,5.0,9.35,1
321,107,2,2.0,1.5,8.44,0
314,107,2,2.5,4.0,8.56,0
307,110,4,4.0,4.5,8.37,0
306,105,2,2.5,3.0,8.22,1
314,102,2,2.0,2.5,8.24,0
311,103,3,2.0,4.0,8.09,0
326,108,3,3.0,3.5,8.89,0
324,110,3,3.5,3.0,9.22,1
327,113,4,4.5,4.5,9.04,0
332,118,5,5.0,5.0,9.64,1
319,103,3,2.5,4.0,8.76,1
306,106,2,2.0,2.5,8.14,0
308,105,4,3.0,2.5,7.95,1
320,108,3,3.5,5.0,8.97,1
299,96,2,1.5,2.0,7.86,0
315,105,3,2.0,2.5,8.48,0
295,99,2,2.5,3.0,7.65,0
308,103,2,3.0,3.5,8.49,0
329,111,4,4.5,4.0,9.23,1
305,105,2,3.0,4.0,8.13,0
309,111,2,2.5,4.0,8.03,0
311,105,2,3.0,2.0,8.12,1
325,111,3,3.0,3.5,8.7,0
326,116,3,3.5,4.0,9.14,1
297,99,4,3.0,3.5,7.81,0
307,105,2,2.0,3.5,8.1,0
293,97,2,2.0,4.0,7.8,1
327,112,3,3.0,3.0,8.72,1
307,105,2,2.5,3.0,7.65,0
313,94,2,2.5,1.5,8.13,0
318,107,3,3.0,3.5,8.27,1
296,99,2,3.0,3.5,7.28,0
333,119,5,5.0,4.5,9.78,1
300,102,3,3.5,2.5,8.17,0
314,105,2,2.5,2.0,7.64,0
300,104,3,3.5,3.0,8.16,0
302,99,1,2.0,2.0,7.25,0
322,104,3,3.5,4.0,8.84,1
323,113,3,4.0,4.0,8.88,1
334,116,4,4.0,3.5,9.54,1
314,109,4,3.5,4.0,8.77,1
329,119,4,4.5,4.5,9.16,1
328,116,5,4.5,5.0,9.08,1
304,103,5,5.0,3.0,7.92,0
340,115,5,4.5,4.5,9.45,1
330,120,5,4.5,5.0,9.56,1
307,108,2,4.0,3.5,7.7,0
312,107,3,3.0,3.0,8.46,1
316,104,3,3.0,3.5,8.0,1
324,113,4,4.5,4.5,9.25,1
328,108,4,4.5,4.0,9.18,1
321,109,3,3.5,3.5,8.8,1
318,109,3,3.5,4.0,9.22,1
305,106,2,3.0,3.0,8.16,0
319,102,3,2.5,2.5,8.37,0
299,100,3,2.0,3.0,7.42,0
335,115,4,4.5,4.5,9.68,1
312,107,4,4.5,4.0,8.65,1
324,107,5,3.5,4.0,8.66,1
300,98,1,2.0,2.5,8.02,0
321,109,4,4.0,4.0,8.68,1
305,105,2,3.0,2.0,8.23,0
311,104,3,4.0,3.5,8.13,1
338,118,4,3.0,4.5,9.4,1
314,108,4,4.5,4.0,9.04,1
339,119,5,4.5,4.0,9.7,0
323,113,3,4.0,3.0,9.32,1
320,110,2,4.0,3.5,8.56,0
306,100,2,3.0,3.0,8.0,0
296,99,2,2.5,2.5,8.03,0
331,117,4,4.5,5.0,9.42,1
298,99,2,4.0,2.0,7.6,0
308,108,3,3.5,3.5,8.22,0
329,111,4,4.5,4.5,9.18,1
322,115,5,4.0,4.5,9.36,1
319,106,3,4.0,3.0,8.0,1
313,104,3,4.0,4.5,8.65,0
332,119,4,5.0,4.5,9.24,1
304,104,3,2.5,2.0,8.12,0
314,107,2,2.5,4.0,8.27,0
324,110,4,4.5,4.0,9.15,1
330,114,4,4.5,3.0,9.17,1
